target_time_msec;sample_time_msec;sample_duration_usec;N_CUR_ADC[digits];N_CUR_ADC[mA];N_CUR_FILT[mA];N_CUR_HIGH[mA]
10000;10000;7;2072;-185;-42;140
10005;10005;2;2072;-185;-42;140
10010;10010;2;2072;-185;-42;140
10015;10015;1;2084;115;-40;140
10020;10020;1;2084;115;-40;140
10025;10025;1;2084;115;-40;140
10030;10030;1;2084;115;-40;140
10035;10035;2;2073;-160;-44;140
10040;10040;1;2073;-160;-44;140
10045;10045;1;2073;-160;-44;140
10050;10050;1;2073;-160;-44;140
10055;10055;1;2084;115;-42;140
10060;10060;1;2084;115;-42;140
10065;10065;1;2084;115;-42;140
10070;10070;1;2084;115;-42;140
10075;10075;1;2073;-160;-43;140
10080;10080;1;2073;-160;-43;140
10085;10085;1;2073;-160;-43;140
10090;10090;1;2073;-160;-43;140
10095;10095;2;2078;-35;-41;140
10100;10100;2;2078;-35;-41;140
10105;10105;1;2078;-35;-41;140
10110;10110;2;2078;-35;-41;140
10115;10115;1;2078;-35;-39;140
10120;10120;1;2078;-35;-39;140
10125;10125;1;2078;-35;-39;140
10130;10130;1;2078;-35;-39;140
10135;10135;1;2072;-185;-39;140
10140;10140;2;2072;-185;-39;140
10145;10145;2;2072;-185;-39;140
10150;10150;1;2072;-185;-39;140
10155;10155;1;2081;40;-37;140
10160;10160;2;2081;40;-37;140
10165;10165;1;2081;40;-37;140
10170;10170;1;2081;40;-37;140
10175;10175;2;2073;-160;-40;140
10180;10180;1;2073;-160;-40;140
10185;10185;1;2073;-160;-40;140
10190;10190;1;2073;-160;-40;140
10195;10195;1;2081;40;-41;140
10200;10200;1;2081;40;-41;140
10205;10205;2;2081;40;-41;140
10210;10210;2;2081;40;-41;140
10215;10215;1;2082;65;-37;140
10220;10220;1;2082;65;-37;140
10225;10225;1;2082;65;-37;140
10230;10230;2;2082;65;-37;140
10235;10235;1;2079;-10;-38;140
10240;10240;1;2079;-10;-38;140
10245;10245;2;2079;-10;-38;140
10250;10250;1;2079;-10;-38;140
10255;10255;1;2077;-60;-40;140
10260;10260;1;2077;-60;-40;140
10265;10265;2;2077;-60;-40;140
10270;10270;1;2077;-60;-40;140
10275;10275;1;2073;-160;-42;140
10280;10280;1;2073;-160;-42;140
10285;10285;1;2073;-160;-42;140
10290;10290;1;2073;-160;-42;140
10295;10295;1;2072;-185;-43;140
10300;10300;1;2072;-185;-43;140
10305;10305;1;2072;-185;-43;140
10310;10310;2;2072;-185;-43;140
10315;10315;1;2076;-85;-42;140
10320;10320;1;2076;-85;-42;140
10325;10325;2;2076;-85;-42;140
10330;10330;1;2076;-85;-42;140
10335;10335;3;2083;90;-38;140
10340;10340;2;2083;90;-38;140
10345;10345;1;2083;90;-38;140
10350;10350;1;2083;90;-38;140
10355;10355;1;2079;-10;-35;140
10360;10360;2;2079;-10;-35;140
10365;10365;1;2079;-10;-35;140
10370;10370;1;2079;-10;-35;140
10375;10375;1;2074;-135;-36;140
10380;10380;1;2074;-135;-36;140
10385;10385;1;2074;-135;-36;140
10390;10390;2;2074;-135;-36;140
10395;10395;1;2073;-160;-39;140
10400;10400;1;2073;-160;-39;140
10405;10405;3;2073;-160;-39;140
10410;10410;1;2073;-160;-39;140
10415;10415;2;2072;-185;-42;140
10420;10420;1;2072;-185;-42;140
10425;10425;1;2072;-185;-42;140
10430;10430;1;2072;-185;-42;140
10435;10435;1;2081;40;-38;140
10440;10440;1;2081;40;-38;140
10445;10445;1;2081;40;-38;140
10450;10450;1;2081;40;-38;140
10455;10455;1;2074;-135;-42;140
10460;10460;1;2074;-135;-42;140
10465;10465;3;2074;-135;-42;140
10470;10470;3;2074;-135;-42;140
10475;10475;1;2073;-160;-46;140
10480;10480;1;2073;-160;-46;140
10485;10485;1;2073;-160;-46;140
10490;10490;2;2073;-160;-46;140
10495;10495;1;2083;90;-42;140
10500;10500;1;2083;90;-42;140
10505;10505;1;2083;90;-42;140
10510;10510;1;2083;90;-42;140
10515;10515;2;2078;-35;-43;140
10520;10520;1;2078;-35;-43;140
10525;10525;3;2078;-35;-43;140
10530;10530;1;2078;-35;-43;140
10535;10535;1;2072;-185;-43;140
10540;10540;1;2072;-185;-43;140
10545;10545;1;2072;-185;-43;140
10550;10550;1;2072;-185;-43;140
10555;10555;1;2073;-160;-46;140
10560;10560;2;2073;-160;-46;140
10565;10565;1;2073;-160;-46;140
10570;10570;1;2073;-160;-46;140
10575;10575;1;2073;-160;-46;140
10580;10580;2;2073;-160;-46;140
10585;10585;2;2073;-160;-46;140
10590;10590;1;2073;-160;-46;140
